device_id,device_mac,user_id,device_token,device_expiration,device_description,mqtt_conf_id,influx_conf_main_id,influx_conf_bak_id,tboard_conf_id,ai_conf_id,ai_active,monitoring_target,alert_setting,last_seen_raw,last_seen_result
118,30:30:f9:03:33:14,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.04,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
138,30:30:f9:73:4c:34,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.17,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
143,30:30:f9:72:3a:b4,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.19,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
145,30:30:f9:73:4c:40,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.06,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
209,30:30:f9:73:4c:1c,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.05,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
219,30:30:f9:73:4c:30,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,Lab seat,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
265,cc:8d:a2:e7:dd:74,1,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,Lab bed,3,3,1,1,3,1,animal,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
285,cc:8d:a2:e7:dd:6c,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO. 12,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
286,cc:8d:a2:e7:db:7c,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.03,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
287,cc:8d:a2:e7:dc:c4,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.16,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
288,cc:8d:a2:e7:dd:3c,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.13,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
290,cc:8d:a2:e7:da:ec,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,N0.1,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
224,cc:8d:a2:e7:dc:c8,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.18,4,4,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
291,cc:8d:a2:e7:db:60,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.15,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
292,cc:8d:a2:e7:da:94,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.11,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
186,30:30:f9:72:3a:fc,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.9,3,3,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
264,30:30:f9:72:3a:84,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,NO.08,4,4,1,1,3,1,adult,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
296,74:4d:bd:89:2d:84,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,Baby (YX),4,4,1,1,3,1,baby,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
293,74:4d:bd:89:2a:a4,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,Cat (YX),3,3,1,1,3,1,animal,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00
142,30:30:f9:73:4c:24,7,fkajeev9e73df908r754hfonge03456f,1/1/50 0:00,Dog (YX),3,3,1,1,3,1,animal,"{ ""hr"": {""max"": 120, ""min"": 45}, ""rr"": {""max"": 22, ""min"": 10}, ""bph"": {""max"": 140, ""min"": 90}, ""bpl"": {""max"": 90, ""min"": 60}, ""oc"": {""on"": 1, ""off"": 1} }",1/1/00 0:00,1/1/00 0:00